May i offer you some bubble wrap in these hard times? 
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
&gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt; &gt;!pop!&lt;
