my Oops!... I Did It Again album ranking! | rank | song                             |
|-----:|----------------------------------|
| 1    | Lucky                            |
| 2    | Oops!... I Did It Again          |
| 3    | Stronger                         |
| 4    | Don't Let Me Be The Last To Know |
| 5    | Don't Go Knocking On My Door     |
| 6    | Where Are You Now                |
| 7    | Can't Make You Love Me           |
| 8    | One Kiss From You                |
| 9    | What U See (Is What U Get)       |
| 10   | When Your Eyes Say It            |
| 11   | (I Can't Get No) Satisfaction    |
| 12   | Dear Diary                       |
